작성자,리뷰내용,방문일,방문횟수,인증
줄리3422,의자가 편해서 허리 안 아프고 좋아요,2023년 1월 27일 금요일,4번째 방문,
우아한볼갱,"매장이 넓어서 좋은데
주차가 불가해서 아쉬워요",2023년 3월 31일 금요일,1번째 방문,
구름통,,2023년 5월 2일 화요일,1번째 방문,
냉정한맛,"몇년동안 느끼는거지만 ..
개롱점은 다른 타지점 스타벅스 매장 보다 유독 커피맛이 없어요 이상해요 왜일까요..? ㅡㅡ",2023년 2월 25일 토요일,1번째 방문,
yor2i,굿굿,2023년 10월 28일 토요일,2번째 방문,
mik****,봄 딸기 라떼 맛있어요,2023년 3월 4일 토요일,1번째 방문,
jy****,크로크무슈 맛있어요,2023년 5월 4일 목요일,7번째 방문,
인증된영수증,"바닐라 크림 콜드블루랑
망고 바나나 주문해서 먹었어요.
남자직원 두분이 계셨는데 친절하네요.

화장실도 깔끔한 편이고 저는 바닐라 크림
콜드블루 벤티 사이즈 마셨는데 양이 엄청 많아요.
맛은 살짝 씁쓸하면서 달달합니다.",2022년 11월 26일 토요일,1번째 방문,
whdwhd030379,친절해요,2024년 1월 2일 화요일,5번째 방문,
Maven83,추천합니다,2023년 6월 28일 수요일,1번째 방문,
귀여운앙꼬,친절해서 메뉴 잘 선택해서 먹었어요,2023년 4월 2일 일요일,1번째 방문,
hipsh051467,,2023년 4월 24일 월요일,1번째 방문,
짱이7792,좋아요,2023년 6월 24일 토요일,1번째 방문,
그림거위,주말이라 사람이 엄청 많음!,2023년 1월 28일 토요일,1번째 방문,
Sane29,.,2023년 6월 3일 토요일,11번째 방문,
미슈니59,좋아요,2023년 5월 18일 목요일,2번째 방문,
chlekdms98,,2023년 4월 20일 목요일,1번째 방문,
워터사피언스,배고플때 바나나 좋아요~,2023년 4월 24일 월요일,14번째 방문,
Podoar,천절해요,2023년 5월 27일 토요일,1번째 방문,
평범한대딩,ㅈㆍ,2023년 5월 27일 토요일,1번째 방문,
매력있어28,스벅쿠폰이 자주 생깁니다,2023년 3월 18일 토요일,6번째 방문,
Navy294,좋아요,2023년 7월 30일 일요일,2번째 방문,
789999,개룡역,2023년 4월 17일 월요일,1번째 방문,
ran****,,2023년 6월 8일 목요일,6번째 방문,
JOHN69,ㅡㅡ,2023년 4월 14일 금요일,2번째 방문,
억소녀8,좌석이 넓어서 대화하기 좋아요,2023년 2월 7일 화요일,2번째 방문,
워터사피언스,"직원들은 여전히 좀 느릿느릿..
커피는 그런대로~",2023년 3월 13일 월요일,12번째 방문,
wwettw3e,"참 힘든곳입니다.

라떼 한잔 만드는데 주문내용을 제대로 못외워서 커피를 세번 만들어주시네요.",2023년 1월 8일 일요일,1번째 방문,
루비6772,,2023년 7월 25일 화요일,1번째 방문,
아르몽3042,"티백빼니까 훅 줄고 그나마도 반이
거품… 이게6,000원…;;; 너무 심한데요",2023년 1월 17일 화요일,1번째 방문,
yiroom,좋아요,2023년 6월 3일 토요일,1번째 방문,
남산위에 이 소나무,좋아요,2023년 6월 3일 토요일,1번째 방문,
skfro45,스벅은 아메,2023년 4월 2일 일요일,1번째 방문,
루비2388,스벅 스타벅스 아이스 아메리카노 톨 맛있어요 최고에요 맛있어요 👍 😄 😁,2023년 3월 9일 목요일,1번째 방문,
jka****,깨끗하고 좋아요,2023년 3월 20일 월요일,1번째 방문,
냥이랑 깡이랑,매장 넓고 펀해요,2023년 3월 4일 토요일,1번째 방문,
5Flora,집 근처라 자주 이용하는곳입니다. 좋아요!,2022년 12월 29일 목요일,1번째 방문,
행복만들기79,선물샀어요,2023년 9월 27일 수요일,9번째 방문,
CindyHa,"항상 사람 많아요
음료가 다양해요",2023년 2월 2일 목요일,1번째 방문,
워터사피언스,바나나 맛있다. 요기로 좋네요,2023년 3월 6일 월요일,11번째 방문,
0000004653,스타벅스에요,2023년 3월 29일 수요일,1번째 방문,
soo****,좋아요,2023년 5월 29일 월요일,10번째 방문,
soo****,커피마시기좋아요,2023년 4월 2일 일요일,8번째 방문,
jy****,자주가요,2023년 5월 26일 금요일,9번째 방문,
붉은단풍,뜨아가 맛있어요.,2023년 2월 25일 토요일,2번째 방문,
잰잰92,늘 친절하셔요~,2023년 3월 17일 금요일,3번째 방문,
워터사피언스,파트너가 바쒸었는데 친절하고 일 잘해요^^,2023년 2월 28일 화요일,10번째 방문,
비레뜨,친절하시고 커피도 맛있었어요 : ),2022년 12월 23일 금요일,1번째 방문,
워터사피언스,"새로운 메뉴인 브라운 슈가는 맛있는데..
역시나 이번에도 바나나가 상태가 안좋아요.
일부가 썩었네요.",2023년 2월 17일 금요일,7번째 방문,
꽃게탕9,좋아요,2023년 3월 19일 일요일,1번째 방문,
주차금지23,굿,2023년 3월 19일 일요일,1번째 방문,
tlaqk,자주가는곳이에요,2023년 1월 21일 토요일,1번째 방문,
twi****,맛있어요,2023년 7월 21일 금요일,6번째 방문,
여신4040,,2023년 4월 21일 금요일,1번째 방문,
워터사피언스,조금 붐비지 않아서 좋아요...,2023년 2월 24일 금요일,9번째 방문,
자전거 탐사대장,"다소 산만한 분위기, 내코드에는 안맞아서 카공 불갸ㅜㅜ",2023년 2월 25일 토요일,1번째 방문,
라이언5757,👍👍👍,2023년 5월 16일 화요일,1번째 방문,
jy****,얼그레이맛있어요,2023년 3월 21일 화요일,5번째 방문,
슈퍼짱70,매장이 넓고 평일 낮엔 사람이 많지 않고 좋아요.,2023년 2월 21일 화요일,1번째 방문,
꼬꼬마14,좋아요,2023년 11월 30일 목요일,3번째 방문,
아이라라,맛있어요.,2023년 7월 1일 토요일,4번째 방문,
yjyw,설날이라 바쁜ㄷㅔ 너무 친절하신직원분덕에 기다렸다먹었어도 기분이좋네요^^,2023년 1월 22일 일요일,16번째 방문,
sol****,친절해요,2023년 5월 10일 수요일,3번째 방문,
annie맘,좋아요,2023년 6월 28일 수요일,2번째 방문,
오메랄,굳,2023년 6월 27일 화요일,2번째 방문,
볼지수31,직원분들이 친절해요,2023년 3월 10일 금요일,2번째 방문,
5Flora,좋아요!,2023년 2월 26일 일요일,3번째 방문,
줍줍이351,"자주 쉬다 가는 곳
좀더 싸면 소원이 없을듯ㅎ",2023년 2월 9일 목요일,1번째 방문,
워터사피언스,"지나가다 사이렌 오더... 커피 맛있네요~
친절하구요~",2023년 2월 6일 월요일,6번째 방문,
twi****,스타벅스는 사랑입니다,2023년 5월 30일 화요일,5번째 방문,
워터사피언스,"잠깐 들렸는데 친절하고 활기가 있어요~

바나나 상태는 그리 좋지 않네요",2023년 1월 28일 토요일,4번째 방문,
gro****,맛있어요,2023년 4월 30일 일요일,2번째 방문,
와이트,스타벅스 커피는 언제나..ㅎ,2023년 2월 27일 월요일,9번째 방문,
영림천사,카라멜 프라푸치노 잘먹었습니다.,2022년 11월 4일 금요일,7번째 방문,
nah****,커피가맛있어요,2023년 9월 30일 토요일,1번째 방문,
kjh9788,직원들이 친절하고 상냥해요~^^,2023년 1월 2일 월요일,3번째 방문,
tjf****,굿,2023년 4월 27일 목요일,1번째 방문,
옥수수s,5호선 개롱역 인근 (약간 걸어야 함) 스타벅스. 매장이 생각보다 넓고 깔끔하다. 주거지역에 바로 붙어있어서 인근 주민들이 많이 이용하는 것으로 보임.,2022년 12월 1일 목요일,1번째 방문,
hmj****,커피가 맛있어요,2023년 2월 28일 화요일,4번째 방문,
헤헷706,:),2023년 4월 5일 수요일,1번째 방문,
yjyw,디카페인 오랜만에마셨는데 좋네요^^,2023년 1월 21일 토요일,15번째 방문,
공You,"굿
커피는 역시 스타벅스",2022년 10월 29일 토요일,6번째 방문,
율헌이,굿,2023년 7월 16일 일요일,4번째 방문,
워터사피언스,바나나 상태가 프리미엄이 아니네...,2023년 1월 30일 월요일,5번째 방문,
쓰리6756,굿,2023년 7월 15일 토요일,8번째 방문,
줄리3422,집에서 가깝고 매장도 넓고해서 좋아요,2023년 1월 20일 금요일,3번째 방문,
리이츠59,굿,2023년 3월 17일 금요일,1번째 방문,
hon****,좋아요,2023년 7월 1일 토요일,3번째 방문,
워터사피언스,친절하고 맛있고~~ 고고^^,2023년 2월 22일 수요일,8번째 방문,
전원40,오랜만에 라떼 한잔,2023년 1월 11일 수요일,4번째 방문,
77별,친절한 매장이였어요.,2023년 1월 16일 월요일,42번째 방문,
ssoo0502,좋습니다!,2023년 3월 12일 일요일,2번째 방문,
Milchu,직원분이 되게 친절했습니다.,2023년 1월 13일 금요일,1번째 방문,
헛모야,:),2023년 2월 22일 수요일,1번째 방문,
탈한국,,2023년 5월 4일 목요일,1번째 방문,
먹깨비 여신,평일 낮에도 사람이 엄청 많음,2022년 11월 16일 수요일,1번째 방문,
qq****,👍,2023년 7월 3일 월요일,3번째 방문,
다시다,창으로 보이는 가로수들이 멋져요,2022년 11월 9일 수요일,1번째 방문,
ssoo0502,좋아요,2023년 3월 5일 일요일,1번째 방문,
tlaqk,좋어요,2023년 3월 4일 토요일,4번째 방문,
하늘과별32,Soso,2023년 2월 12일 일요일,1번째 방문,
LaLaLa36,좋아요,2023년 3월 2일 목요일,1번째 방문,
꼬꼬마봉봉,언제나 믿고 이용하는 스타벅스~^^,2022년 12월 8일 목요일,1번째 방문,
fou****,디저트가 맛있어요,2023년 1월 15일 일요일,1번째 방문,
워터사피언스,굿 굳 굿,2023년 3월 31일 금요일,13번째 방문,
참새4410,맛있어요,2023년 2월 5일 일요일,1번째 방문,
tlaqk,,2023년 1월 22일 일요일,2번째 방문,
77별,직원분이 친절해요.,2022년 12월 30일 금요일,41번째 방문,
보보스8811,쏘쏘,2023년 2월 4일 토요일,1번째 방문,
aya7800,,2023년 1월 14일 토요일,1번째 방문,
이쁜알라,"자주가는 매장 친절해요
커피도 맛있구요",2023년 1월 1일 일요일,2번째 방문,
384738,친절하심,2023년 2월 28일 화요일,4번째 방문,
하늘사랑6233,친절해요,2023년 3월 24일 금요일,1번째 방문,
날당근,커피 아이스로 절 마셨어요,2022년 11월 27일 일요일,1번째 방문,
won****,좋아용,2023년 1월 15일 일요일,3번째 방문,
또롱맘74,커피 맛있고 자리도 넓어 편합니다,2022년 12월 29일 목요일,3번째 방문,
i0****,좋아요,2023년 3월 10일 금요일,1번째 방문,
sarah74,스타벅스는 어디나 좋아요 ㅎㅎ 선물받은 쿠폰으로 이용했어요,2022년 11월 23일 수요일,1번째 방문,
nymph15,좋아요,2023년 3월 19일 일요일,4번째 방문,
heaven64,맛있어요,2023년 3월 18일 토요일,2번째 방문,
여백19,좋아요,2023년 3월 18일 토요일,2번째 방문,
ney1707,굿,2023년 2월 10일 금요일,1번째 방문,
수수깡87,직원이 친절하게 대해주는 느낌을 받았습니다~,2022년 11월 18일 금요일,3번째 방문,
yuj****,맛있어요,2023년 2월 21일 화요일,1번째 방문,
thr****,스벅...,2023년 1월 18일 수요일,1번째 방문,
메이트39,굿,2023년 2월 6일 월요일,1번째 방문,
kjw803,잠깐 차 세우기 좋아요.,2023년 1월 14일 토요일,8번째 방문,
해유승희,스벅~~ 스세권~~ 별도장!! 좋습니다,2023년 3월 4일 토요일,5번째 방문,
짬뽕6921,친절하고 매장이 넓어요,2023년 1월 7일 토요일,3번째 방문,
아이라라,음료가 맛있어요.,2023년 1월 23일 월요일,2번째 방문,
shinss711,서비스 굿^^,2023년 5월 27일 토요일,1번째 방문,
wbmc2005,,2023년 4월 19일 수요일,4번째 방문,
yjyw,,2023년 2월 1일 수요일,17번째 방문,
yan****,직원분들이 너무 친절해요^^,2022년 12월 5일 월요일,4번째 방문,
다시다,유자민트티 맛있어용,2022년 11월 30일 수요일,2번째 방문,
mini0800,커피 맛나요. 주차가 안되는게 아숩,2022년 12월 8일 목요일,1번째 방문,
soo****,,2022년 12월 27일 화요일,1번째 방문,
밀크티2676,자리 많아서 좋아요,2023년 1월 1일 일요일,2번째 방문,
ppp 5555,"좋은서비스 감사합니다
수고하세요",2022년 11월 2일 수요일,1번째 방문,
나사랑63,사람많아요,2023년 1월 2일 월요일,1번째 방문,
lazcranberry,냠냠😆,2022년 12월 24일 토요일,1번째 방문,
piglove0323,,2022년 12월 6일 화요일,2번째 방문,
Thunderbolt,라스트 애니버서리 원두 득템.. ㅎ,2022년 9월 24일 토요일,1번째 방문,
세만만이볶떡,"픽업대 근처에 앉았는데 냉장고 쾅쾅 닫는 소리가 자주 들려서 좀 불편했어요
그 외에는 만족이요",2022년 11월 20일 일요일,1번째 방문,
seu****,굳,2023년 2월 20일 월요일,1번째 방문,
웃음천국78,,2022년 11월 19일 토요일,2번째 방문,
로229,접근성 좋아요,2022년 11월 20일 일요일,11번째 방문,
sangchu2,좋아요,2022년 12월 17일 토요일,2번째 방문,
장돌맨,직원들 친-절,2022년 12월 23일 금요일,2번째 방문,
ilovesinju,굿,2023년 2월 14일 화요일,4번째 방문,
공You,굿,2022년 10월 24일 월요일,5번째 방문,
이사벨라 리,"스벅 생크림카스테라와
쌉싸름한 아메리카노와의 조합.
언제먹어도 굿!",2022년 11월 5일 토요일,1번째 방문,
복041,맛있어요,2022년 11월 29일 화요일,4번째 방문,
fht****,,2022년 11월 18일 금요일,5번째 방문,
multi7004,좋아요,2023년 2월 9일 목요일,1번째 방문,
샤넬팍37,커피맛이 좋아요 청결도 하고요,2022년 11월 16일 수요일,2번째 방문,
똘망대디,개롱역 근처 스벅입니다. 매장이넓어요.,2022년 11월 8일 화요일,5번째 방문,
mim****,맛나요,2023년 4월 19일 수요일,1번째 방문,
fht****,블랙글래이즈 완전 맛있어요,2022년 10월 11일 화요일,3번째 방문,
kjw803,좋아요.,2023년 2월 4일 토요일,9번째 방문,
카라748,좋아요,2023년 2월 3일 금요일,4번째 방문,
lazcranberry,좋아요,2022년 12월 31일 토요일,2번째 방문,
ymj5870,"매장이 넓어 시야가 편안했음
매장마다 커피맛이 차이가 있는데 여기도 좋아요",2022년 11월 12일 토요일,1번째 방문,
또롱맘74,커피 맛있고 편히 사람 만나거나 집중하거나 다 좋습니다,2022년 11월 8일 화요일,2번째 방문,
sarah74,좋아요,2022년 12월 27일 화요일,2번째 방문,
ls****,친구랑방문,2023년 3월 1일 수요일,2번째 방문,
SJAN29,"좋아요 친절하고 빠릅니다🙂
목소리도 예쁘시고 엄청 친절하신 바리스타분 덕분에 매번 기분좋은 방문이 됩니다 👍🏻",2022년 8월 10일 수요일,1번째 방문,
sorryc,좋아요^^,2023년 8월 15일 화요일,3번째 방문,
d902n026,매장이 청결하고 커피 맛있어요,2022년 11월 5일 토요일,1번째 방문,
Thfk64,디카페인 아메 맛있네요,2022년 12월 2일 금요일,1번째 방문,
이은자94,커피는 스벅,2023년 1월 7일 토요일,1번째 방문,
버블팝팝팝,직원 분들이 너무 친절하셨고 음료도 너무 맛있었습니다 ☺️❤️,2022년 9월 27일 화요일,1번째 방문,
꼬망88,주차가 좀 불편하지만 매장이 넓어요,2022년 9월 29일 목요일,1번째 방문,
피카츄김,오랜만에 먹어보는 커피.... 좋아요,2023년 3월 3일 금요일,1번째 방문,
es4083,굿,2023년 1월 18일 수요일,1번째 방문,
mei****,모든 음료가 맛있어요.,2023년 4월 19일 수요일,1번째 방문,
pjy****,맛있어요,2023년 4월 19일 수요일,12번째 방문,
아이라라,좋아요,2023년 1월 25일 수요일,3번째 방문,
jy****,굿,2023년 1월 13일 금요일,3번째 방문,
용용짱짱,굿~,2022년 12월 26일 월요일,5번째 방문,
Overwhelming,넓고 시간보내기 좋아요,2022년 10월 22일 토요일,1번째 방문,
용용짱짱,자주 가요,2022년 12월 21일 수요일,4번째 방문,
해피555,맛있어요,2023년 1월 4일 수요일,2번째 방문,
짬뽕6921,좌석이 조금불편한데 디저트가 맛있어요,2022년 10월 13일 목요일,2번째 방문,
ak****,직원들이 친절해요,2023년 5월 4일 목요일,1번째 방문,
푸릉38,맛있어요,2023년 1월 3일 화요일,1번째 방문,
용용짱짱,굿,2022년 12월 16일 금요일,3번째 방문,
384738,국,2022년 11월 18일 금요일,3번째 방문,
쇼가닥1,좋아요 ^^,2022년 12월 15일 목요일,1번째 방문,
써니니니,"피지오 파는매장❤
애기 항상 머핀먹어요~",2022년 10월 10일 월요일,1번째 방문,
Rainbowx7,스벅 카페라떼 맛있어요,2022년 12월 25일 일요일,29번째 방문,
fai****,좋아요,2022년 12월 30일 금요일,2번째 방문,
럭셔리정95,좋아요,2023년 2월 17일 금요일,1번째 방문,
Eunice Lee,공간이 넓어서 좋아요,2022년 9월 30일 금요일,1번째 방문,
hyu****,메뉴들 엄청 친절하게 설명주셨어요. 자바칩 최대 몇스푼 넣을 수 있는지도 첨알았네요 ㅋㅋ 덕분에 더 맛있게 커스터마이징해서 먹을수 있었어요,2022년 7월 31일 일요일,1번째 방문,
사막 여우,말이 필요 없는 스타벅스~~^^,2022년 11월 2일 수요일,3번째 방문,
피부미인38,굿,2022년 11월 22일 화요일,1번째 방문,
까까미,좋아요,2022년 12월 18일 일요일,2번째 방문,
뉴동삼이10,매장이 넓은편이라 좋아요,2022년 9월 25일 일요일,1번째 방문,
행복만들기79,자주 가는 스벅매장이에요~,2022년 12월 17일 토요일,5번째 방문,
내차례,매장이 큽니다,2022년 9월 9일 금요일,1번째 방문,
온미미,커피맛이 좋네요:-),2022년 9월 12일 월요일,1번째 방문,
바다1368,굿,2023년 3월 4일 토요일,4번째 방문,
아현예쁜이,"케잌
맛있어요",2022년 10월 13일 목요일,2번째 방문,
marrianne,가카움,2022년 11월 20일 일요일,12번째 방문,
이지윤60,공간이 넓어 대화하기 좋아요,2022년 11월 16일 수요일,2번째 방문,
놀란토끼71,맛있어요,2022년 10월 31일 월요일,2번째 방문,
daa****,음료종류가 많아서 좋아요.,2022년 12월 2일 금요일,3번째 방문,
marrianne,가까워서,2022년 11월 12일 토요일,10번째 방문,
리맄,"아이스 라떼☕️
퍼플 사워 어쩌고🥤",2022년 7월 9일 토요일,1번째 방문,
룰루랄라해피해피,기프트콘 사용하러 갑니다,2022년 9월 5일 월요일,2번째 방문,
108썬플,딸기요거트 맛있어요 편하게 앉아서 얘기했어요,2022년 12월 8일 목요일,1번째 방문,
wkd****,굿,2023년 4월 4일 화요일,13번째 방문,
공You,굿 여름엔 역시 아아,2022년 7월 20일 수요일,3번째 방문,
토끼드롭,.,2023년 6월 3일 토요일,3번째 방문,
룰루랄라해피해피,"실내 분위기 별루에요~
기프트콘 사용하려구 가요",2022년 9월 5일 월요일,1번째 방문,
DH31,시원하고 쾌적해서 아주 흡족합니다.,2022년 6월 26일 일요일,1번째 방문,
파이어멜론,공부하기 조음,2022년 8월 24일 수요일,4번째 방문,
예질질이,굿,2023년 2월 13일 월요일,5번째 방문,
노다님,스벅은 늘~,2022년 10월 29일 토요일,1번째 방문,
커피한잔24,좋아요,2023년 1월 18일 수요일,1번째 방문,
오솰도,굿,2022년 11월 16일 수요일,1번째 방문,
lucia3815,직원이 친절해서 자주갑니다,2022년 11월 14일 월요일,2번째 방문,
행복만들기79,구정연휴 스벅과 함께~~,2023년 1월 22일 일요일,8번째 방문,
marrianne,가까움,2022년 10월 24일 월요일,9번째 방문,
fht****,좋아욤,2022년 10월 10일 월요일,2번째 방문,
준이맘44,스벅,2022년 9월 19일 월요일,1번째 방문,
신맛52,국,2022년 10월 22일 토요일,2번째 방문,
루미0417,시원하고 커피 맛있고 친절해요,2022년 6월 12일 일요일,1번째 방문,
김로그입니다,말차러버로서 맛있게 마셨습니당,2022년 5월 30일 월요일,3번째 방문,
용키리,굿,2022년 10월 5일 수요일,1번째 방문,
행복만들기79,애용하는 스벅 개롱점 굿!,2023년 1월 10일 화요일,7번째 방문,
sy00824,매장이 깨끗 하고 다들 친절해요,2022년 11월 5일 토요일,1번째 방문,
조현경53,맛있어요,2022년 10월 1일 토요일,2번째 방문,
fht****,좋아욤~~,2022년 9월 30일 금요일,1번째 방문,
qq****,굿,2023년 1월 25일 수요일,2번째 방문,
괴나공,블루베리 케이크 정말 맛있네요,2022년 7월 7일 목요일,2번째 방문,
lucia3815,"매장도넓고 직원도 친절해요
조용해 대화나누기도 좋아요",2022년 10월 29일 토요일,1번째 방문,
김로그입니다,갈때마다 항상 가는곳입니다! 집주변에 새로 스벅이 드디어 생기던데 빨리 생겼으면 좋겠는 tmi,2022년 5월 16일 월요일,1번째 방문,
신맛52,조아요,2022년 10월 29일 토요일,3번째 방문,
joo****,넓어서 좋아요,2022년 9월 3일 토요일,1번째 방문,
비수19,커피 맛있고 자리 좋아여 ㅎㅎ,2022년 9월 3일 토요일,1번째 방문,
cic****,굿,2022년 10월 28일 금요일,2번째 방문,
축구맨,좋아요,2022년 10월 28일 금요일,2번째 방문,
소피아투어,굿,2022년 12월 17일 토요일,1번째 방문,
놀란토끼71,커피가 맛있어요,2022년 7월 30일 토요일,1번째 방문,
맛집방범대,카페가 많이 없는 개롱역 주변에 유일한 카페!,2022년 7월 3일 일요일,1번째 방문,
seu****,좋아요,2022년 10월 27일 목요일,1번째 방문,
kan****,좋아요,2022년 10월 27일 목요일,1번째 방문,
행복한은영,집중하기좋아요,2022년 7월 28일 목요일,1번째 방문,
김로그입니다,깊티생길때마다 항상 가는 스벅입니다,2022년 5월 26일 목요일,2번째 방문,
kim****,예쁜텀블러 발견~,2022년 8월 29일 월요일,1번째 방문,
DAWN73,서머 케리백 레드 받았어요~~,2022년 6월 24일 금요일,2번째 방문,
minjae911,ㅇㅇ,2022년 10월 2일 일요일,5번째 방문,
ji0****,굿이요,2022년 10월 20일 목요일,2번째 방문,
민준맘97,좋아요,2022년 10월 20일 목요일,2번째 방문,
송파방아깨비,쾌적하고 좋아요~ 흑임자 케이크 최고!,2022년 5월 19일 목요일,1번째 방문,
oh****,맛있게 먹었다,2022년 8월 24일 수요일,2번째 방문,
labinaya,굿~,2022년 9월 12일 월요일,1번째 방문,
쫑냠,좋아요,2022년 9월 27일 화요일,1번째 방문,
전원40,좋아요,2022년 8월 31일 수요일,3번째 방문,
한입만32,아기과자 추천해주셔서 감사해요. 친절!!,2022년 6월 18일 토요일,1번째 방문,
매력있어28,자주 이용합니다,2022년 8월 15일 월요일,5번째 방문,
진서도,좋아요,2022년 10월 12일 수요일,1번째 방문,
시크58,굿,2022년 10월 8일 토요일,1번째 방문,
af****,좋아요.,2022년 9월 3일 토요일,1번째 방문,
ejfamilysb,커피좋아요,2022년 10월 3일 월요일,1번째 방문,
꾸우뽕,매번옵니다. 올때마다 느낍니다. 일하시는 바리스타님들 목이 아프시겠다는걸~~~,2022년 7월 1일 금요일,6번째 방문,
Eliane,매장이 넓어요,2022년 10월 30일 일요일,2번째 방문,
hwadong,주차장도 있고 넓어서 좋아요,2022년 5월 4일 수요일,1번째 방문,
꾸우뽕,분위기와 가격은 비싼데 직원들 커피나왔다는 소리지르는 것에 도깨비 시장같아요.,2022년 6월 29일 수요일,3번째 방문,
kts135050,좋아요,2022년 12월 23일 금요일,1번째 방문,
ock****,베리굿,2022년 9월 30일 금요일,1번째 방문,
한입만32,좋아요,2022년 8월 20일 토요일,2번째 방문,
한입만32,굿,2022년 8월 20일 토요일,3번째 방문,
yu****,굿,2022년 9월 25일 일요일,1번째 방문,
민맘9591,,2022년 7월 25일 월요일,1번째 방문,
워터사피언스,"더울땐 따라...
좋아 조ㅎ아",2022년 7월 31일 일요일,3번째 방문,
우자우자,좋,2022년 9월 24일 토요일,1번째 방문,
xdreamx,,2022년 7월 23일 토요일,1번째 방문,
hyu****,친절해요,2022년 8월 14일 일요일,2번째 방문,
파란하늘349,구웃~,2022년 7월 31일 일요일,1번째 방문,
행복만들기79,그린 다이어리 겟!!,2022년 12월 11일 일요일,4번째 방문,
민마담83,굿,2022년 8월 18일 목요일,6번째 방문,
해피555,아.아 고소하고 맛있어요,2022년 7월 26일 화요일,1번째 방문,
꾸우뽕,번호부르는 소리가 시끄러워요,2022년 6월 29일 수요일,4번째 방문,
꾸우뽕,커피 나왔을때 왜? 소리지르는걸까요고.ㅋ,2022년 6월 29일 수요일,5번째 방문,
imy****,좋아요,2022년 9월 13일 화요일,2번째 방문,
행복만들기79,언제나 굿♡,2022년 12월 25일 일요일,6번째 방문,
19****,집 근처 있어 가끔 갔는데 매장이 넓고 대화하기 좋았요,2022년 6월 23일 목요일,1번째 방문,
수산나38,,2022년 11월 11일 금요일,1번째 방문,
디51,ㅇ,2022년 11월 17일 목요일,2번째 방문,
파이어멜론,굳굳,2022년 8월 11일 목요일,3번째 방문,
ros****,굿,2022년 9월 12일 월요일,2번째 방문,
큐알코드,굿,2022년 8월 7일 일요일,2번째 방문,
쩝쩝석박사,굳,2022년 8월 7일 일요일,1번째 방문,
토토2228,직원분들이 쏘친절,2022년 6월 11일 토요일,4번째 방문,
지소니67,혼자가기좋아요,2022년 10월 10일 월요일,1번째 방문,
찰리조,좋아요,2022년 9월 3일 토요일,1번째 방문,
one****,좋아요,2022년 12월 4일 일요일,1번째 방문,
코러스라인,커피맛 조타,2022년 9월 2일 금요일,1번째 방문,
DAWN73,친절하고 맛있어서 단골,2022년 6월 4일 토요일,1번째 방문,
kjh9788,친절해요~,2022년 7월 26일 화요일,2번째 방문,
ㅅㅋㅇㄴ,굿,2023년 1월 5일 목요일,1번째 방문,
kak****,좋아요,2022년 9월 1일 목요일,1번째 방문,
알로하66,굿,2022년 8월 29일 월요일,1번째 방문,
와이트,굿굿,2022년 8월 7일 일요일,8번째 방문,
와이트,공부하기.좋음,2022년 6월 9일 목요일,5번째 방문,
rla****,굿,2022년 8월 20일 토요일,2번째 방문,
나야나4594,맛있어요,2022년 7월 23일 토요일,8번째 방문,
매력있어28,할인쿠폰이 있어 이용하게 되네요,2022년 5월 31일 화요일,4번째 방문,
와이트,귣굳,2022년 7월 17일 일요일,7번째 방문,
rla****,굳,2022년 8월 20일 토요일,1번째 방문,
태혁이맘,좋아요~,2022년 11월 19일 토요일,1번째 방문,
김980,.,2022년 10월 22일 토요일,1번째 방문,
로밍83,직원분친절해여 휘발유 냄새 안나여,2022년 5월 23일 월요일,1번째 방문,
지니95795,좋아요,2022년 8월 13일 토요일,1번째 방문,
kmidoll,좋아요,2022년 8월 13일 토요일,1번째 방문,
2mo****,👍 굿,2022년 7월 15일 금요일,1번째 방문,
전원40,신메뉴 겟,2022년 6월 16일 목요일,2번째 방문,
ktc715,좋아용,2022년 10월 1일 토요일,1번째 방문,
KimsCourse,넓고 쾌적하네요. 아침인데 조금 어두워요!,2022년 4월 18일 월요일,1번째 방문,
Jin623,굿,2022년 11월 3일 목요일,1번째 방문,
파이어멜론,Good,2022년 7월 8일 금요일,2번째 방문,
동감2,,2022년 5월 20일 금요일,3번째 방문,
복치3,자주가는 집앞 스벅! 친절 청결 접근성 좋아요!,2022년 3월 13일 일요일,1번째 방문,
행복한나날들3863,스벅커피는 마싯네요,2022년 5월 12일 목요일,1번째 방문,
기 로 fk,좋아요,2022년 8월 3일 수요일,2번째 방문,
순돌이1378,자주가는곳!,2022년 7월 6일 수요일,3번째 방문,
st****,굿,2022년 8월 8일 월요일,1번째 방문,
hyeyoung619,굿,2022년 8월 6일 토요일,1번째 방문,
행복만들기79,가까워서 자주 애용하는 스벅이에요~~,2022년 11월 6일 일요일,3번째 방문,
kjh9788,굿,2022년 7월 5일 화요일,1번째 방문,
로렌4741,굿,2022년 7월 30일 토요일,2번째 방문,
jdj8770,좋와요,2022년 8월 4일 목요일,1번째 방문,
eun****,커피가 맛나요.,2022년 8월 19일 금요일,3번째 방문,
히힛79,자주이용합니다.,2022년 6월 6일 월요일,1번째 방문,
jon****,굿,2022년 7월 30일 토요일,1번째 방문,
괴나공,블루베리 케이크 넘 맛있어요,2022년 4월 3일 일요일,1번째 방문,
구원받다,직원들이 좀 더 친절했으면...,2022년 4월 12일 화요일,1번째 방문,
유순자10,굿,2022년 7월 22일 금요일,2번째 방문,
whi****,.,2022년 6월 3일 금요일,1번째 방문,
